Angle,Detector 2,Detector 4
0,586.8333333,892
10,1302.305556,971.3333333
20,3123.717593,882.2222222
30,5794.242155,721.5061728
40,7418.373693,642.9176955
50,7893.395615,602.9862826
60,5874.565936,713.8310471
70,3765.927656,734.1385078
80,1928.821276,859.856418
90,942.6368793,859.6427363
100,1294.106147,801.4404561
110,2872.851024,742.9067427
120,4345.308504,707.4844571
130,6013.384751,664.9140762
140,5938.897458,628.9856794
150,4835.816243,691.6642799
160,3272.136041,788.9440466
170,1675.522673,877.3240078
180,903.7537789,917.720668
