Angle,Power,Angle (Radians)
0,170,0
10,87,0.174532925
20,33,0.34906585
22.5,8.5,0.392699082
30,1,0.523598776
40,22,0.698131701
45,43,0.785398163
50,72,0.872664626
60,180,1.047197551
67.5,300,1.178097245
70,305,1.221730476
80,390,1.396263402
90,470,1.570796327
100,550,1.745329252
110,615,1.919862177
112.5,650,1.963495408
120,640,2.094395102
130,625,2.268928028
135,610,2.35619449
140,560,2.443460953
150,365,2.617993878
157.5,380,2.748893572
160,365,2.792526803
170,255,2.967059728
180,160,3.141592654
190,81,3.316125579
200,20.8,3.490658504
202.5,9,3.534291735
210,0.7,3.665191429
220,15,3.839724354
225,41,3.926990817
230,58,4.01425728
240,145,4.188790205
247.5,205,4.319689899
250,238,4.36332313
260,330,4.537856055
270,420,4.71238898
280,505,4.886921906
290,550,5.061454831
292.5,553,5.105088062
300,560,5.235987756
310,535,5.410520681
315,520,5.497787144
320,500,5.585053606
330,434,5.759586532
337.5,392,5.890486225
340,363,5.934119457
350,260,6.108652382
360,169,6.283185307
